0.04,1250,169
0.045,1250,167
0.05,1250,25
0.055,1250,150
0.06,1250,149
0.065,1250,13
0.07,1250,6
0.075,1250,1
0.08,1250,39
0.085,1250,43
0.09,1250,42
0.095,1250,41
0.01,1300,1
0.015,1300,2
0.02,1300,173
0.025,1300,30
0.03,1300,31
0.035,1300,28
0.04,1300,22
0.045,1300,23
0.05,1300,16
0.055,1300,11
0.06,1300,8
0.065,1300,10
0.07,1300,4
0.075,1300,1
0.08,1300,16
0.085,1300,41
0.09,1300,43
0.095,1300,41
0.01,1350,1
0.015,1350,3
0.02,1350,184
0.025,1350,178
0.03,1350,178
0.035,1350,175
0.04,1350,169
0.045,1350,165
0.05,1350,158
0.055,1350,23
0.06,1350,146
0.065,1350,17
0.07,1350,20
0.075,1350,15
0.08,1350,38
0.085,1350,42
0.09,1350,42
0.095,1350,41
0.01,1400,1
0.015,1400,4
0.02,1400,176
0.025,1400,180
0.03,1400,177
0.035,1400,169
0.04,1400,28
0.045,1400,157
0.05,1400,19
0.055,1400,16
0.06,1400,16
0.065,1400,11
0.07,1400,10
0.075,1400,7
0.08,1400,24
0.085,1400,43
0.09,1400,42
0.095,1400,41
0.01,1450,1
0.015,1450,3
0.02,1450,182
0.025,1450,38
0.03,1450,178
0.035,1450,175
0.04,1450,171
0.045,1450,24
0.05,1450,156
0.055,1450,153
0.06,1450,16
0.065,1450,16
0.07,1450,11
0.075,1450,7
0.08,1450,40
0.085,1450,43
0.09,1450,41
0.095,1450,41
0.01,1500,1
0.015,1500,2
0.02,1500,181
0.025,1500,173
0.03,1500,170
0.035,1500,30
0.04,1500,25
0.045,1500,19
0.05,1500,19
0.055,1500,14
0.06,1500,11
0.065,1500,10
0.07,1500,5
0.075,1500,1
0.08,1500,5
0.085,1500,41
0.09,1500,43
0.095,1500,41
0.01,1550,1
0.015,1550,4
0.02,1550,150
0.025,1550,179
0.03,1550,178
0.035,1550,175
0.04,1550,28
0.045,1550,26
0.05,1550,155
0.055,1550,22
0.06,1550,14
0.065,1550,15
0.07,1550,11
0.075,1550,6
0.08,1550,39
0.085,1550,42
0.09,1550,43
0.095,1550,41
0.01,1600,1
0.015,1600,2
0.02,1600,175
0.025,1600,175
0.03,1600,32
0.035,1600,31
0.04,1600,23
0.045,1600,21
0.05,1600,20
0.055,1600,13
0.06,1600,150
0.065,1600,9
0.07,1600,8
0.075,1600,4
0.08,1600,7
0.085,1600,43
0.09,1600,43
0.095,1600,41
0.01,1650,1
0.015,1650,2
0.02,1650,183
0.025,1650,34
0.03,1650,32
0.035,1650,29
0.04,1650,21
0.045,1650,18
0.05,1650,17
0.055,1650,14
0.06,1650,10
0.065,1650,11
0.07,1650,1
0.075,1650,0
0.08,1650,5
0.085,1650,42
0.09,1650,43
0.095,1650,41
0.01,1700,1
0.015,1700,40
0.02,1700,34
0.025,1700,31
0.03,1700,27
0.035,1700,27
0.04,1700,23
0.045,1700,19
0.05,1700,14
0.055,1700,12
0.06,1700,8
0.065,1700,7
0.07,1700,1
0.075,1700,0
0.08,1700,3
0.085,1700,42
0.09,1700,42
0.095,1700,41
0.01,1750,1
0.015,1750,9
0.02,1750,38
0.025,1750,180
0.03,1750,36
0.035,1750,35
0.04,1750,25
0.045,1750,26
0.05,1750,158
0.055,1750,17
0.06,1750,150
0.065,1750,7
0.07,1750,5
0.075,1750,0
0.08,1750,38
0.085,1750,42
0.09,1750,43
0.095,1750,41
0.01,1800,1
0.015,1800,6
0.02,1800,153
0.025,1800,29
0.03,1800,24
0.035,1800,139
0.04,1800,20
0.045,1800,14
0.05,1800,12
0.055,1800,8
0.06,1800,6
0.065,1800,8
0.07,1800,0
0.075,1800,0
0.08,1800,1
0.085,1800,42
0.09,1800,41
0.095,1800,41
0.01,1850,1
0.015,1850,2
0.02,1850,37
0.025,1850,34
0.03,1850,32
0.035,1850,29
0.04,1850,23
0.045,1850,20
0.05,1850,17
0.055,1850,15
0.06,1850,14
0.065,1850,10
0.07,1850,5
0.075,1850,2
0.08,1850,10
0.085,1850,42
0.09,1850,42
0.095,1850,41
0.01,1900,1
0.015,1900,2
0.02,1900,32
0.025,1900,30
0.03,1900,26
0.035,1900,29
0.04,1900,19
0.045,1900,14
0.05,1900,10
0.055,1900,9
0.06,1900,7
0.065,1900,8
0.07,1900,0
0.075,1900,0
0.08,1900,2
0.085,1900,42
0.09,1900,43
0.095,1900,41
0.01,1950,1
0.015,1950,4
0.02,1950,154
0.025,1950,181
0.03,1950,178
0.035,1950,171
0.04,1950,138
0.045,1950,23
0.05,1950,156
0.055,1950,19
0.06,1950,150
0.065,1950,16
0.07,1950,12
0.075,1950,9
0.08,1950,39
0.085,1950,43
0.09,1950,42
0.095,1950,41
0.01,2000,1
0.015,2000,2
0.02,2000,37
0.025,2000,32
0.03,2000,31
0.035,2000,27
0.04,2000,21
0.045,2000,19
0.05,2000,19
0.055,2000,15
0.06,2000,11
0.065,2000,11
0.07,2000,4
0.075,2000,1
0.08,2000,6
0.085,2000,43
0.09,2000,42
0.095,2000,41
0.01,2050,1
0.015,2050,2
0.02,2050,35
0.025,2050,32
0.03,2050,25
0.035,2050,28
0.04,2050,20
0.045,2050,16
0.05,2050,16
0.055,2050,11
0.06,2050,10
0.065,2050,8
0.07,2050,0
0.075,2050,0
